Country,Year,Biofuels Production (TwH)
Africa,1990,0.068616723
Africa,1991,0.068616723
Africa,1992,0.068804714
Africa,1993,0.068616723
Africa,1994,0.068616723
Africa,1995,0.068616723
Africa,1996,0.068804714
Africa,1997,0.102925084
Africa,1998,0.102925084
Africa,1999,0.068616723
Africa,2000,0.068804714
Africa,2001,0.068616723
Africa,2002,0.320697644
Africa,2003,0.331282947
Africa,2004,0.365431634
Africa,2005,0.419992538
Africa,2006,0.448393316
Africa,2007,0.454163262
Africa,2008,0.527325906
Africa,2009,3.145031061
Africa,2010,1.111039671
Africa,2011,1.248138293
Africa,2012,1.268738835
Africa,2013,1.293675593
Africa,2014,1.456437809
Africa,2015,1.794097243
Africa,2016,1.84952023
Africa,2017,1.498362002
Africa,2018,1.693087709
Africa,2019,1.699717669
Africa,2020,1.70437443
Argentina,1990,0
Argentina,1991,0
Argentina,1992,0
Argentina,1993,0
Argentina,1994,0
Argentina,1995,0
Argentina,1996,0
Argentina,1997,0
Argentina,1998,0
Argentina,1999,0
Argentina,2000,0.053206035
Argentina,2001,0.106121326
Argentina,2002,0.106121326
Argentina,2003,0.106121326
Argentina,2004,0.10641207
Argentina,2005,0.106121326
Argentina,2006,0.352672341
Argentina,2007,2.007858027
Argentina,2008,7.112290453
Argentina,2009,11.96508749
Argentina,2010,19.89394423
Argentina,2011,25.84481549
Argentina,2012,26.50253736
Argentina,2013,23.83868511
Argentina,2014,30.58442389
Argentina,2015,23.46184454
Argentina,2016,32.76828431
Argentina,2017,36.23187022
Argentina,2018,31.70342867
Argentina,2019,28.55002881
Argentina,2020,17.10328407
Asia Pacific,1990,0
Asia Pacific,1991,0
Asia Pacific,1992,0
Asia Pacific,1993,0
Asia Pacific,1994,0
Asia Pacific,1995,0
Asia Pacific,1996,0
Asia Pacific,1997,0
Asia Pacific,1998,0
Asia Pacific,1999,0
Asia Pacific,2000,0.99766835
Asia Pacific,2001,1.082311505
Asia Pacific,2002,2.876958431
Asia Pacific,2003,6.540716517
Asia Pacific,2004,6.598372647
Asia Pacific,2005,10.47512768
Asia Pacific,2006,17.08787224
Asia Pacific,2007,23.55890147
Asia Pacific,2008,37.82222039
Asia Pacific,2009,39.22726775
Asia Pacific,2010,42.27696628
Asia Pacific,2011,67.80626644
Asia Pacific,2012,81.81829433
Asia Pacific,2013,98.08588561
Asia Pacific,2014,118.4993617
Asia Pacific,2015,98.61999122
Asia Pacific,2016,111.8507945
Asia Pacific,2017,116.3480353
Asia Pacific,2018,152.8278209
Asia Pacific,2019,189.8860619
Asia Pacific,2020,192.5876633
Australia,1990,0
Australia,1991,0
Australia,1992,0
Australia,1993,0
Australia,1994,0
Australia,1995,0
Australia,1996,0
Australia,1997,0
Australia,1998,0
Australia,1999,0
Australia,2000,0
Australia,2001,0
Australia,2002,0
Australia,2003,0.535323085
Australia,2004,0.321809026
Australia,2005,0.320059828
Australia,2006,0.592058682
Australia,2007,1.159329231
Australia,2008,1.879363337
Australia,2009,2.695125884
Australia,2010,2.101781892
Australia,2011,2.542717548
Australia,2012,2.693399332
Australia,2013,2.845891892
Australia,2014,2.989948072
Australia,2015,2.640335528
Australia,2016,1.462264623
Australia,2017,1.235534089
Australia,2018,1.503533483
Australia,2019,1.737465418
Australia,2020,1.663460706
Austria,1990,0.073269
Austria,1991,0.080247
Austria,1992,0.089551
Austria,1993,0.101181
Austria,1994,0.067454
Austria,1995,0.130256
Austria,1996,0.141886
Austria,1997,0.153516
Austria,1998,0.165146
Austria,1999,0.181428
Austria,2000,0.212824139
Austria,2001,0.212242653
Austria,2002,0.265303316
Austria,2003,0.318363979
Austria,2004,0.585266384
Austria,2005,0.848970611
Austria,2006,1.273455917
Austria,2007,2.575904318
Austria,2008,3.095624881
Austria,2009,4.284925547
Austria,2010,4.487388333
Austria,2011,4.459111111
Austria,2012,4.459111111
Austria,2013,4.2805
Austria,2014,3.756333333
Austria,2015,4.356
Austria,2016,4.804666667
Austria,2017,4.472944444
Austria,2018,4.412322222
Austria,2019,4.4228
Austria,2020,4.577222222
Belgium,1990,0
Belgium,1991,0
Belgium,1992,0
Belgium,1993,0
Belgium,1994,0
Belgium,1995,0
Belgium,1996,0
Belgium,1997,0
Belgium,1998,0
Belgium,1999,0
Belgium,2000,0
Belgium,2001,0
Belgium,2002,0
Belgium,2003,0
Belgium,2004,0
Belgium,2005,0
Belgium,2006,0
Belgium,2007,0
Belgium,2008,0
Belgium,2009,1.56630514
Belgium,2010,4.249497331
Belgium,2011,4.906836561
Belgium,2012,5.2025642
Belgium,2013,5.108349569
Belgium,2014,6.6881804
Belgium,2015,4.4912734
Belgium,2016,4.325650569
Belgium,2017,5.181676719
Belgium,2018,4.935504511
Belgium,2019,5.223405161
Belgium,2020,5.2025847
Brazil,1990,65.00527108
Brazil,1991,72.90802233
Brazil,1992,66.79854719
Brazil,1993,64.79952861
Brazil,1994,71.16421897
Brazil,1995,72.52801364
Brazil,1996,80.75185322
Brazil,1997,88.75702047
Brazil,1998,81.04088
Brazil,1999,74.773533
Brazil,2000,61.79519794
Brazil,2001,66.34446531
Brazil,2002,72.80916544
Brazil,2003,83.91704906
Brazil,2004,84.63428442
Brazil,2005,92.56784994
Brazil,2006,102.8018335
Brazil,2007,132.913168
Brazil,2008,166.0387794
Brazil,2009,163.49847
Brazil,2010,181.3416053
Brazil,2011,155.9017571
Brazil,2012,159.6143669
Brazil,2013,185.3761465
Brazil,2014,195.1959398
Brazil,2015,209.4252519
Brazil,2016,197.1377054
Brazil,2017,198.3323774
Brazil,2018,238.3260464
Brazil,2019,254.9016584
Brazil,2020,245.4741931
CIS,1990,0
CIS,1991,0
CIS,1992,0
CIS,1993,0
CIS,1994,0
CIS,1995,0
CIS,1996,0
CIS,1997,0
CIS,1998,0
CIS,1999,0
CIS,2000,0
CIS,2001,0
CIS,2002,0
CIS,2003,0
CIS,2004,0
CIS,2005,0
CIS,2006,0
CIS,2007,0
CIS,2008,0.075140267
CIS,2009,0.234759691
CIS,2010,0.384170301
CIS,2011,0.305000239
CIS,2012,0.332000447
CIS,2013,0.264209204
CIS,2014,0.276886492
CIS,2015,0.218534233
CIS,2016,0.20443296
CIS,2017,0.201241496
CIS,2018,0.141241163
CIS,2019,0.161241274
CIS,2020,0.16167963
Canada,1990,0
Canada,1991,0
Canada,1992,0
Canada,1993,0
Canada,1994,0
Canada,1995,0
Canada,1996,0
Canada,1997,0
Canada,1998,0
Canada,1999,0.577973246
Canada,2000,1.261388187
Canada,2001,1.325938624
Canada,2002,1.35993705
Canada,2003,1.35993705
Canada,2004,1.363662905
Canada,2005,1.495930755
Canada,2006,1.918643041
Canada,2007,5.599985578
Canada,2008,6.008573408
Canada,2009,8.729076397
Canada,2010,9.353596814
Canada,2011,11.03900718
Canada,2012,10.82985344
Canada,2013,11.47761532
Canada,2014,13.43862138
Canada,2015,12.83787354
Canada,2016,13.88855556
Canada,2017,13.8
Canada,2018,13.91911111
Canada,2019,14.79690648
Canada,2020,13.33077502
China,1990,0
China,1991,0
China,1992,0
China,1993,0
China,1994,0
China,1995,0
China,1996,0
China,1997,0
China,1998,0
China,1999,0
China,2000,0
China,2001,0.053060663
China,2002,1.768478733
China,2003,4.856231258
China,2004,5.965345764
China,2005,8.368023592
China,2006,12.2311453
China,2007,13.48425683
China,2008,16.73105895
China,2009,18.28642217
China,2010,17.77460016
China,2011,22.11954271
China,2012,23.68309892
China,2013,26.36081807
China,2014,29.27854994
China,2015,24.93243518
China,2016,23.97870591
China,2017,29.04683961
China,2018,28.01419697
China,2019,33.9185
China,2020,39.45195611
Colombia,1990,0
Colombia,1991,0
Colombia,1992,0
Colombia,1993,0
Colombia,1994,0
Colombia,1995,0
Colombia,1996,0
Colombia,1997,0
Colombia,1998,0
Colombia,1999,0
Colombia,2000,0
Colombia,2001,0
Colombia,2002,0
Colombia,2003,0
Colombia,2004,0
Colombia,2005,0.171541807
Colombia,2006,1.570759699
Colombia,2007,1.688979364
Colombia,2008,1.749481851
Colombia,2009,3.642700017
Colombia,2010,5.251430333
Colombia,2011,6.638568139
Colombia,2012,7.279805981
Colombia,2013,7.537292614
Colombia,2014,7.836901694
Colombia,2015,8.024198592
Colombia,2016,7.806001739
Colombia,2017,7.153718981
Colombia,2018,8.936949856
Colombia,2019,7.976526058
Colombia,2020,7.281117239
Europe,1990,0.073269
Europe,1991,0.080247
Europe,1992,0.202416444
Europe,1993,0.502786846
Europe,1994,1.400767376
Europe,1995,2.474585018
Europe,1996,3.590217106
Europe,1997,4.590712397
Europe,1998,4.372726586
Europe,1999,5.005115736
Europe,2000,8.130677031
Europe,2001,10.038443
Europe,2002,13.41347131
Europe,2003,16.92990929
Europe,2004,25.36704809
Europe,2005,34.71141339
Europe,2006,51.12316583
Europe,2007,69.87283475
Europe,2008,90.39917386
Europe,2009,111.11985
Europe,2010,126.6329867
Europe,2011,124.4160487
Europe,2012,135.1964771
Europe,2013,145.4436314
Europe,2014,158.7421262
Europe,2015,161.1807803
Europe,2016,156.7738688
Europe,2017,177.2332448
Europe,2018,188.8566055
Europe,2019,191.6852328
Europe,2020,183.3026155
European Union,1990,0.073269
European Union,1991,0.080247
European Union,1992,0.202416444
European Union,1993,0.502786846
European Union,1994,1.400767376
European Union,1995,2.474585018
European Union,1996,3.590217106
European Union,1997,4.573787586
European Union,1998,4.357511631
European Union,1999,4.990824283
European Union,2000,8.113989956
European Union,2001,10.02073184
European Union,2002,13.36541416
European Union,2003,16.80253823
European Union,2004,25.17855449
European Union,2005,34.50478097
European Union,2006,48.08223917
European Union,2007,64.99686106
European Union,2008,86.21430375
European Union,2009,107.9419145
European Union,2010,123.1452007
European Union,2011,121.1633582
European Union,2012,130.6499372
European Union,2013,138.1791146
European Union,2014,153.1195746
European Union,2015,156.1922224
European Union,2016,148.4660314
European Union,2017,165.8291086
European Union,2018,177.8915162
European Union,2019,181.8763595
European Union,2020,173.8576815
Finland,1990,0
Finland,1991,0
Finland,1992,0
Finland,1993,0
Finland,1994,0
Finland,1995,0
Finland,1996,0
Finland,1997,0
Finland,1998,0
Finland,1999,0
Finland,2000,0
Finland,2001,0
Finland,2002,0
Finland,2003,0
Finland,2004,0
Finland,2005,0
Finland,2006,0
Finland,2007,0.433030581
Finland,2008,0.991635035
Finland,2009,2.692899458
Finland,2010,3.505052486
Finland,2011,2.416090885
Finland,2012,3.066077011
Finland,2013,3.844533025
Finland,2014,4.295519203
Finland,2015,5.011312775
Finland,2016,1.287133443
Finland,2017,3.625292822
Finland,2018,3.301683167
Finland,2019,3.950198522
Finland,2020,4.54212195
France,1990,0
France,1991,0
France,1992,0.02624891
France,1993,0.2923782
France,1994,0.94942668
France,1995,1.8613815
France,1996,2.67855182
France,1997,3.206600339
France,1998,2.997667389
France,1999,3.151253169
France,2000,3.775865581
France,2001,3.76689885
France,2002,4.034772639
France,2003,4.430087969
France,2004,4.643859
France,2005,7.5016989
France,2006,7.866113319
France,2007,13.11383681
France,2008,24.17893282
France,2009,27.05571799
France,2010,26.37487453
France,2011,26.24407192
France,2012,30.62803531
France,2013,28.55337125
France,2014,28.88098833
France,2015,30.70296739
France,2016,28.09411417
France,2017,27.29157439
France,2018,31.495517
France,2019,29.03573711
France,2020,26.78901208
Germany,1990,0
Germany,1991,0
Germany,1992,0.05167209
Germany,1993,0.05167209
Germany,1994,0.28933114
Germany,1995,0.36166974
Germany,1996,0.56833484
Germany,1997,0.93000458
Germany,1998,1.03333713
Germany,1999,1.34333478
Germany,2000,2.58333701
Germany,2001,3.616662511
Germany,2002,5.683336769
Germany,2003,6.912906889
Germany,2004,10.57919788
Germany,2005,16.17636471
Germany,2006,26.60217125
Germany,2007,33.02325708
Germany,2008,29.39069636
Germany,2009,29.40987422
Germany,2010,36.44825717
Germany,2011,35.81365461
Germany,2012,33.56023742
Germany,2013,35.74399089
Germany,2014,39.94681894
Germany,2015,36.82789617
Germany,2016,37.24674789
Germany,2017,38.01764444
Germany,2018,39.059739
Germany,2019,40.79567156
Germany,2020,40.65214175
India,1990,0
India,1991,0
India,1992,0
India,1993,0
India,1994,0
India,1995,0
India,1996,0
India,1997,0
India,1998,0
India,1999,0
India,2000,0.99766835
India,2001,1.029250842
India,2002,1.097867564
India,2003,1.132175926
India,2004,0.22170524
India,2005,0.915696991
India,2006,0.826330227
India,2007,1.107841532
India,2008,1.706103345
India,2009,1.306544938
India,2010,2.118663218
India,2011,3.085962542
India,2012,2.952340594
India,2013,2.803233394
India,2014,3.056151697
India,2015,6.019033147
India,2016,7.342048739
India,2017,6.712163303
India,2018,11.34313476
India,2019,13.3360943
India,2020,12.28531253
Indonesia,1990,0
Indonesia,1991,0
Indonesia,1992,0
Indonesia,1993,0
Indonesia,1994,0
Indonesia,1995,0
Indonesia,1996,0
Indonesia,1997,0
Indonesia,1998,0
Indonesia,1999,0
Indonesia,2000,0
Indonesia,2001,0
Indonesia,2002,0
Indonesia,2003,0
Indonesia,2004,0
Indonesia,2005,0.102777778
Indonesia,2006,0.513888889
Indonesia,2007,2.525498756
Indonesia,2008,5.146332089
Indonesia,2009,1.749108954
Indonesia,2010,2.239632082
Indonesia,2011,16.58594605
Indonesia,2012,20.31976776
Indonesia,2013,25.65963223
Indonesia,2014,36.32423217
Indonesia,2015,14.81854989
Indonesia,2016,33.42901458
Indonesia,2017,31.23454972
Indonesia,2018,56.39774669
Indonesia,2019,76.79712619
Indonesia,2020,78.62314483
Italy,1990,0
Italy,1991,0
Italy,1992,0
Italy,1993,0
Italy,1994,0
Italy,1995,0
Italy,1996,0
Italy,1997,0
Italy,1998,0
Italy,1999,0
Italy,2000,0
Italy,2001,0
Italy,2002,0
Italy,2003,0
Italy,2004,2.939447611
Italy,2005,2.05555598
Italy,2006,2.29194736
Italy,2007,2.07610619
Italy,2008,7.279286781
Italy,2009,8.68580735
Italy,2010,9.04645365
Italy,2011,6.8204135
Italy,2012,3.621733189
Italy,2013,5.312421181
Italy,2014,5.963247611
Italy,2015,6.0315506
Italy,2016,6.093992069
Italy,2017,7.311641439
Italy,2018,7.887733489
Italy,2019,9.07599385
Italy,2020,9.797778131
Mexico,1990,0
Mexico,1991,0
Mexico,1992,0
Mexico,1993,0
Mexico,1994,0
Mexico,1995,0
Mexico,1996,0
Mexico,1997,0
Mexico,1998,0
Mexico,1999,0
Mexico,2000,0
Mexico,2001,0
Mexico,2002,0
Mexico,2003,0
Mexico,2004,0
Mexico,2005,0
Mexico,2006,0
Mexico,2007,0
Mexico,2008,0
Mexico,2009,0
Mexico,2010,0
Mexico,2011,0
Mexico,2012,0
Mexico,2013,0
Mexico,2014,0
Mexico,2015,0
Mexico,2016,0
Mexico,2017,0
Mexico,2018,0
Mexico,2019,0
Mexico,2020,0
Middle East,1990,0
Middle East,1991,0
Middle East,1992,0
Middle East,1993,0
Middle East,1994,0
Middle East,1995,0
Middle East,1996,0
Middle East,1997,0
Middle East,1998,0
Middle East,1999,0
Middle East,2000,0
Middle East,2001,0
Middle East,2002,0.089018262
Middle East,2003,0.099069636
Middle East,2004,0.081440119
Middle East,2005,0
Middle East,2006,0
Middle East,2007,0
Middle East,2008,0
Middle East,2009,0.13596781
Middle East,2010,0.130056136
Middle East,2011,0.141879484
Middle East,2012,0.154123935
Middle East,2013,0.165526179
Middle East,2014,0.177349526
Middle East,2015,0.189172531
Middle East,2016,0.177835416
Middle East,2017,0.177349526
Middle East,2018,0.177349526
Middle East,2019,0.177349526
Middle East,2020,0.177835416
Netherlands,1990,0
Netherlands,1991,0
Netherlands,1992,0
Netherlands,1993,0
Netherlands,1994,0
Netherlands,1995,0
Netherlands,1996,0
Netherlands,1997,0
Netherlands,1998,0
Netherlands,1999,0
Netherlands,2000,0
Netherlands,2001,0
Netherlands,2002,0
Netherlands,2003,0
Netherlands,2004,0.068804714
Netherlands,2005,0.034308361
Netherlands,2006,0.266888889
Netherlands,2007,0.948055556
Netherlands,2008,0.905166667
Netherlands,2009,2.816111111
Netherlands,2010,4.511412944
Netherlands,2011,7.695027486
Netherlands,2012,14.69828593
Netherlands,2013,17.21394444
Netherlands,2014,20.73036938
Netherlands,2015,22.23609509
Netherlands,2016,17.63169508
Netherlands,2017,22.95488677
Netherlands,2018,22.21221883
Netherlands,2019,23.55425997
Netherlands,2020,23.21326245
Non-OECD,1990,65.88074578
Non-OECD,1991,73.76860931
Non-OECD,1992,67.61646333
Non-OECD,1993,65.4643935
Non-OECD,1994,71.78242092
Non-OECD,1995,73.09290942
Non-OECD,1996,81.28529256
Non-OECD,1997,89.28119389
Non-OECD,1998,81.49058792
Non-OECD,1999,75.23712794
Non-OECD,2000,63.29509206
Non-OECD,2001,67.96473231
Non-OECD,2002,77.49118269
Non-OECD,2003,92.03906689
Non-OECD,2004,93.01502892
Non-OECD,2005,104.845245
Non-OECD,2006,122.9311028
Non-OECD,2007,161.2193573
Non-OECD,2008,214.1011553
Non-OECD,2009,215.9409018
Non-OECD,2010,242.3527327
Non-OECD,2011,250.4141207
Non-OECD,2012,267.6648223
Non-OECD,2013,308.4186531
Non-OECD,2014,345.5580536
Non-OECD,2015,333.37944
Non-OECD,2016,346.370755
Non-OECD,2017,355.8426242
Non-OECD,2018,425.7267425
Non-OECD,2019,477.5964622
Non-OECD,2020,459.1975119
North America,1990,16.73274148
North America,1991,19.38873221
North America,1992,22.04472294
North America,1993,25.83372615
North America,1994,28.84628228
North America,1995,30.38404883
North America,1996,21.78627946
North America,1997,28.83218294
North America,1998,31.44431819
North America,1999,33.36454733
North America,2000,37.56903408
North America,2001,41.12722503
North America,2002,49.61916603
North America,2003,64.61444403
North America,2004,78.52306403
North America,2005,92.0174295
North America,2006,119.8980587
North America,2007,168.4994277
North America,2008,237.8153408
North America,2009,271.372842
North America,2010,318.8539108
North America,2011,356.26049
North America,2012,340.9386297
North America,2013,356.0226386
North America,2014,378.0268131
North America,2015,387.9511133
North America,2016,413.1225925
North America,2017,425.7172083
North America,2018,438.3591781
North America,2019,427.6183642
North America,2020,387.5890217
OECD,1990,16.80601048
OECD,1991,19.46897921
OECD,1992,22.24713938
OECD,1993,26.336513
OECD,1994,30.24704964
OECD,1995,32.85863383
OECD,1996,25.37649657
OECD,1997,33.42289533
OECD,1998,35.81704478
OECD,1999,38.36966306
OECD,2000,45.69971111
OECD,2001,51.16566803
OECD,2002,63.13226772
OECD,2003,82.27159808
OECD,2004,104.4050778
OECD,2005,127.4496538
OECD,2006,173.6920665
OECD,2007,241.8764772
OECD,2008,332.8754883
OECD,2009,390.56711
OECD,2010,455.7760958
OECD,2011,491.2408228
OECD,2012,488.5226344
OECD,2013,513.6153022
OECD,2014,549.7509033
OECD,2015,562.3142278
OECD,2016,581.404455
OECD,2017,613.1624775
OECD,2018,642.1426703
OECD,2019,632.90284
OECD,2020,583.8057258
Poland,1990,0
Poland,1991,0
Poland,1992,0
Poland,1993,0
Poland,1994,0
Poland,1995,0
Poland,1996,0
Poland,1997,0
Poland,1998,0
Poland,1999,0
Poland,2000,0
Poland,2001,0
Poland,2002,0
Poland,2003,0.343083614
Poland,2004,0.068804714
Poland,2005,1.322895186
Poland,2006,1.747380492
Poland,2007,1.163713197
Poland,2008,3.334795389
Poland,2009,4.697667556
Poland,2010,5.041024222
Poland,2011,4.756806222
Poland,2012,7.505672778
Poland,2013,8.021458944
Poland,2014,8.657343222
Poland,2015,9.383944444
Poland,2016,10.68111111
Poland,2017,10.64003061
Poland,2018,10.50006561
Poland,2019,11.37184517
Poland,2020,11.796216
Portugal,1990,0
Portugal,1991,0
Portugal,1992,0
Portugal,1993,0
Portugal,1994,0
Portugal,1995,0
Portugal,1996,0
Portugal,1997,0
Portugal,1998,0
Portugal,1999,0
Portugal,2000,0
Portugal,2001,0
Portugal,2002,0
Portugal,2003,0
Portugal,2004,0
Portugal,2005,0.010612133
Portugal,2006,0.817723735
Portugal,2007,1.88582776
Portugal,2008,1.73290489
Portugal,2009,2.62540272
Portugal,2010,3.3028037
Portugal,2011,3.841074989
Portugal,2012,3.205309411
Portugal,2013,3.19133015
Portugal,2014,3.503142081
Portugal,2015,3.729485139
Portugal,2016,3.463216289
Portugal,2017,3.676603531
Portugal,2018,3.803812469
Portugal,2019,4.111519011
Portugal,2020,3.477962325
South & Central America,1990,65.81212906
South & Central America,1991,73.69999258
South & Central America,1992,67.54765864
South & Central America,1993,65.39577678
South & Central America,1994,71.71380419
South & Central America,1995,73.02429269
South & Central America,1996,81.21648783
South & Central America,1997,89.17826881
South & Central America,1998,81.38766283
South & Central America,1999,75.16851122
South & Central America,2000,62.22861897
South & Central America,2001,66.81380408
South & Central America,2002,74.30413875
South & Central America,2003,85.79524256
South & Central America,2004,86.48475019
South & Central America,2005,94.67093569
South & Central America,2006,108.0656792
South & Central America,2007,140.7105073
South & Central America,2008,180.3374426
South & Central America,2009,181.2722935
South & Central America,2010,208.7396986
South & Central America,2011,191.4771203
South & Central America,2012,196.4791924
South & Central America,2013,220.7583886
South & Central America,2014,238.1299822
South & Central America,2015,245.7399792
South & Central America,2016,243.7961655
South & Central America,2017,247.8296603
South & Central America,2018,285.81413
South & Central America,2019,299.271335
South & Central America,2020,277.4800478
South Korea,1990,0
South Korea,1991,0
South Korea,1992,0
South Korea,1993,0
South Korea,1994,0
South Korea,1995,0
South Korea,1996,0
South Korea,1997,0
South Korea,1998,0
South Korea,1999,0
South Korea,2000,0
South Korea,2001,0
South Korea,2002,0.010612133
South Korea,2003,0.016869949
South Korea,2004,0.053947261
South Korea,2005,0.133185729
South Korea,2006,0.530191852
South Korea,2007,0.966524613
South Korea,2008,1.794788797
South Korea,2009,2.568182216
South Korea,2010,3.605130864
South Korea,2011,2.901539714
South Korea,2012,4.185637
South Korea,2013,4.292412031
South Korea,2014,4.508939369
South Korea,2015,5.13284235
South Korea,2016,5.150450169
South Korea,2017,4.978256389
South Korea,2018,7.946007161
South Korea,2019,8.137665342
South Korea,2020,7.760849206
Spain,1990,0
Spain,1991,0
Spain,1992,0
Spain,1993,0
Spain,1994,0
Spain,1995,0
Spain,1996,0
Spain,1997,0
Spain,1998,0
Spain,1999,0
Spain,2000,0.851296558
Spain,2001,0.848970611
Spain,2002,1.482077176
Spain,2003,2.090464106
Spain,2004,2.546627044
Spain,2005,3.413359292
Spain,2006,3.038313256
Spain,2007,4.258708511
Spain,2008,4.352000914
Spain,2009,10.47366187
Spain,2010,11.73127935
Spain,2011,9.744388889
Spain,2012,7.081611111
Spain,2013,8.566666667
Spain,2014,11.82722222
Spain,2015,12.88305556
Spain,2016,13.85201106
Spain,2017,21.54364872
Spain,2018,25.1223835
Spain,2019,24.21577994
Spain,2020,19.66044444
Sweden,1990,0
Sweden,1991,0
Sweden,1992,0
Sweden,1993,0
Sweden,1994,0
Sweden,1995,0
Sweden,1996,0
Sweden,1997,0
Sweden,1998,0
Sweden,1999,0
Sweden,2000,0
Sweden,2001,0.16962355
Sweden,2002,0.37980091
Sweden,2003,1.05173579
Sweden,2004,1.98100768
Sweden,2005,0.41834273
Sweden,2006,0.47564374
Sweden,2007,0.57034683
Sweden,2008,1.54066099
Sweden,2009,2.12651061
Sweden,2010,2.41146887
Sweden,2011,2.23294837
Sweden,2012,2.64947682
Sweden,2013,2.64639487
Sweden,2014,2.64831382
Sweden,2015,2.54442303
Sweden,2016,2.40666568
Sweden,2017,2.15831866
Sweden,2018,4.238693061
Sweden,2019,5.0010163
Sweden,2020,4.517046675
Thailand,1990,0
Thailand,1991,0
Thailand,1992,0
Thailand,1993,0
Thailand,1994,0
Thailand,1995,0
Thailand,1996,0
Thailand,1997,0
Thailand,1998,0
Thailand,1999,0
Thailand,2000,0
Thailand,2001,0
Thailand,2002,0
Thailand,2003,0
Thailand,2004,0.034402357
Thailand,2005,0.623942989
Thailand,2006,0.967026603
Thailand,2007,1.6659788
Thailand,2008,6.035050267
Thailand,2009,7.437994389
Thailand,2010,9.69942
Thailand,2011,10.68797
Thailand,2012,14.64217
Thailand,2013,18.71267
Thailand,2014,20.92237
Thailand,2015,22.57383
Thailand,2016,19.56166
Thailand,2017,22.98088
Thailand,2018,24.57419
Thailand,2019,28.16786
Thailand,2020,27.23746
United Kingdom,1990,0
United Kingdom,1991,0
United Kingdom,1992,0
United Kingdom,1993,0
United Kingdom,1994,0
United Kingdom,1995,0
United Kingdom,1996,0
United Kingdom,1997,0
United Kingdom,1998,0
United Kingdom,1999,0
United Kingdom,2000,0
United Kingdom,2001,0
United Kingdom,2002,0.031836398
United Kingdom,2003,0.106121326
United Kingdom,2004,0.10641207
United Kingdom,2005,0.09173744
United Kingdom,2006,2.65133762
United Kingdom,2007,4.520883381
United Kingdom,2008,3.323237611
United Kingdom,2009,2.50001969
United Kingdom,2010,3.268623131
United Kingdom,2011,2.02250352
United Kingdom,2012,3.4827198
United Kingdom,2013,5.859822019
United Kingdom,2014,4.52947795
United Kingdom,2015,3.5043516
United Kingdom,2016,6.305169611
United Kingdom,2017,8.63975255
United Kingdom,2018,7.97265575
United Kingdom,2019,6.818680631
United Kingdom,2020,6.446549069
United States,1990,16.73274148
United States,1991,19.38873221
United States,1992,22.04472294
United States,1993,25.83372615
United States,1994,28.84628228
United States,1995,30.38404883
United States,1996,21.78627946
United States,1997,28.83218294
United States,1998,31.44431819
United States,1999,32.78657408
United States,2000,36.30764592
United States,2001,39.80128642
United States,2002,48.25922897
United States,2003,63.25450697
United States,2004,77.15940114
United States,2005,90.52149872
United States,2006,117.9794156
United States,2007,162.8994421
United States,2008,231.8067674
United States,2009,262.6437656
United States,2010,309.5003139
United States,2011,345.2214828
United States,2012,330.1087761
United States,2013,344.5450233
United States,2014,364.5881917
United States,2015,375.1132397
United States,2016,399.2340369
United States,2017,411.9172083
United States,2018,424.4400669
United States,2019,412.8214575
United States,2020,374.2582467
World,1990,82.68675628
World,1991,93.23758853
World,1992,89.86360272
World,1993,91.8009065
World,1994,102.0294706
World,1995,105.9515433
World,1996,106.6617891
World,1997,122.7040892
World,1998,117.3076327
World,1999,113.606791
World,2000,108.9948032
World,2001,119.1304004
World,2002,140.6234504
World,2003,174.310665
World,2004,197.4201067
World,2005,232.2948988
World,2006,296.6231692
World,2007,403.0958344
World,2008,546.9766439
World,2009,606.5080117
World,2010,698.1288286
World,2011,741.6549433
World,2012,756.1874567
World,2013,822.0339553
World,2014,895.3089569
World,2015,895.6936681
World,2016,927.77521
World,2017,969.0051017
World,2018,1067.869413
World,2019,1110.499302
World,2020,1043.003238
